# Kurdish Dialect Dictionary - Sorani ↔ Kurmanji
# Comprehensive vocabulary list for the AI Academic Hub dialect translator
# Format: [Sorani] → [Kurmanji] | Category | Notes

## Current Dictionary Entries (518 entries)

# Pronouns - جێناو
من → ez | Pronouns
تۆ → tu | Pronouns  
ئەو → ew | Pronouns
ئێمە → em | Pronouns
ئێوە → hûn | Pronouns
ئەوان → wan | Pronouns
خۆم → xwe | Pronouns
خۆت → xwe | Pronouns

# Basic Verbs - کردار
هاتن → hatin | Verbs
چوون → çûn | Verbs
کردن → kirin | Verbs
وتن → gotin | Verbs
خواردن → xwarin | Verbs
خەوتن → razan | Verbs
ژیان → jiyan | Verbs
مردن → mirin | Verbs
دیتن → dîtin | Verbs
بیستن → bihîstin | Verbs
نووسین → nivîsandin | Verbs
خوێندن → xwendin | Verbs
گەڕان → gerandin | Verbs
کارکردن → kar kirin | Verbs
هەڵگرتن → hilgirtin | Verbs
داندانان → danîn | Verbs

# Time - کات
ئێستا → niha | Time
دوێنێ → duh | Time
سبەی → sibê | Time
ئێوارە → êvar | Time
بەیانی → beyan | Time
شەو → şev | Time
ڕۆژ → roj | Time
حەفتە → hefte | Time
مانگ → meh | Time
ساڵ → sal | Time
کاتژمێر → demjimêr | Time
خولەک → xulek | Time
چرکە → çirke | Time

# Family - خێزان
باوک → bav | Family
دایک → dayik | Family
کوڕ → kur | Family
کچ → keç | Family
برا → bira | Family
خوشک → xweh | Family
باپیر → bavpîr | Family
دایپیر → daypîr | Family
مام → mam | Family
پورە → pûr | Family
خالو → xal | Family
ژن → jin | Family
مێرد → mêr | Family
هاوسەر → hevser | Family

# Numbers - ژمارە
یەک → yek | Numbers
دوو → du | Numbers
سێ → sê | Numbers
چوار → çar | Numbers
پێنج → pênc | Numbers
شەش → şeş | Numbers
حەوت → heft | Numbers
هەشت → heşt | Numbers
نۆ → neh | Numbers
دە → deh | Numbers
یازدە → yazde | Numbers
دوازدە → dûwazde | Numbers
بیست → bîst | Numbers
سی → sî | Numbers
چل → çil | Numbers
پەنجا → pêncî | Numbers
شەست → şêst | Numbers
سەد → sed | Numbers
هەزار → hezar | Numbers

# Colors - ڕەنگ
سوور → sor | Colors
زەرد → zer | Colors
شین → şîn | Colors
سپی → spî | Colors
ڕەش → reş | Colors
سەوز → kesk | Colors
پەمەیی → pembe | Colors
مۆر → mor | Colors
نارەنجی → pirteqal | Colors
قاوەیی → qehwerî | Colors

# Body Parts - لەش
سەر → ser | Body
چاو → çav | Body
گوێ → guh | Body
لووت → lût | Body
دەم → dev | Body
دان → diran | Body
ملە → mil | Body
دەست → dest | Body
پەنجە → tilî | Body
قاچ → ling | Body
پێ → pê | Body
دڵ → dil | Body

# Places - شوێن
ماڵ → mal | Places
شار → bajar | Places
گوند → gund | Places
بازاڕ → bazar | Places
دکان → dukan | Places
قوتابخانە → dibistan | Places
نەخۆشخانە → nexweşxane | Places
ڕێگا → rê | Places
دارستان → daristan | Places
چیا → çiya | Places
ڕووبار → çem | Places

# Animals - ئاژەڵ
پشیلە → pisîk | Animals
سەگ → kûçik | Animals
ئەسپ → hesp | Animals
گا → çêl | Animals
بەرخ → berx | Animals
مەڕ → pez | Animals
بزن → bizin | Animals
مریشک → mirîşk | Animals

# Food - خۆراک
نان → nan | Food
ئاو → av | Food
شیر → şîr | Food
پەنیر → penîr | Food
گۆشت → goşt | Food
برنج → birinc | Food
سەوزە → sebze | Food
میوە → fêkî | Food
چا → çay | Food
قاوە → qehwe | Food

# Common Expressions - دەربڕین
